user_id,user_name,email,order_id,amount
1,Goutam,goutam@gmail.com,1,250.5
2,Ravi,ravi@gmail.com,2,430.0
3,Sneha,sneha.k@gmail.com,3,180.75
4,Amit Kumar,amitkumar123@yahoo.com,4,560.0
5,Priya Singh,priya.singh@gmail.com,5,299.99
6,Deepak Sharma,deepak.s@gmail.in,6,125.25
7,Anjali Mehta,anjali.mehta@gmail.com,7,475.5
8,Rahul Verma,rahul.verma11@gmail.com,8,650.0
2,Ravi,ravi@gmail.com,9,320.25
1,Goutam,goutam@gmail.com,10,199.0
5,Priya Singh,priya.singh@gmail.com,11,89.5
7,Anjali Mehta,anjali.mehta@gmail.com,12,399.99
